section_fullname_english,section_color
Live animals and animal products,#eb1c2d
Vegetable products,#d3a029
Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetble waxes,#279b48
"Prepared foodstuffs, beverages, spirits and vinegar, tobacco and manufactured tobacco substitutes",#c32135
Mineral products,#ef402b
Product of the chemicals or allied industries,#00aed9
"Plastics and articles thereof, rubber and articles thereof",#feb614
"Raw hides and skins, leather, furskins and articles thereof, saddlery and harness, travel goods, handbags and similar containers, articles of animal gut (other than silk-worm gut)",#8f1838
"Wood and articles of wood, wood charcoal, cork and articles of cork, manufacturers of straw, of esparto or of other plaiting materials, basketwork and wickerwork",#f36d25
"Pulp of wood or of other fibrous cellulosic material, recovered (waste and scrap) paper or paperboard, paper and paperboard and articles thereof",#e11485
Textile and textile articles,#f99d26
"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof, prepared feathers and articles made therewith, artificial flowers, articles of human hair.",#cf8d2a
"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",#48773e
"Natural or cultured pearls, precious or semi-precious stones, precious metals, metal clad with precious metal, and articles thereof, imitation jewellery, coins",#007dbc
Base metals and articles of base metal,#3eb049
"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",#02558b
"Vehicles, aircraft, vessels and associated transport equipment",#1a3869
"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus, clocks and watches, musical instruments, parts and accessories thereof",
"Arms and ammunition, parts and accessories thereof",
Miscellaneous manufactured articles,
"Works of art, collectorsâ€™ pieces and antiques",
Unspecified,#333333
